ID_participant,cog_load,pft_stim,first_procedure,operations1.corr,operations1.rt,operations2.corr,operations2.rt,operations3.corr,operations3.rt,gender,age,vosi_object,vosi_spatial,exp_model,exp_photo,exp_math,exp_experiment
11,0,PFT3.png,PFT,1,1.7284095,-,-,-,-,f,18,44,26,1,2,5,0
11,0,PFT13.png,PFT,-,-,1,4.0856932,-,-,f,18,44,26,1,2,5,0
11,0,PFT24.png,PFT,-,-,-,-,1,4.9836456,f,18,44,26,1,2,5,0
11,0,PFT5.png,PFT,1,1.7851594,-,-,-,-,f,18,44,26,1,2,5,0
11,0,PFT18.png,PFT,-,-,-,-,1,6.0774499,f,18,44,26,1,2,5,0
11,0,PFT16.png,PFT,-,-,1,4.685197,-,-,f,18,44,26,1,2,5,0
11,0,PFT9.png,PFT,-,-,1,2.7675031,-,-,f,18,44,26,1,2,5,0
11,0,PFT7.png,PFT,1,2.183424,-,-,-,-,f,18,44,26,1,2,5,0
12,0,PFT23.png,PFT,-,-,-,-,1,16.2060154,m,18,58,47,1,3,3,0
12,0,PFT10.png,PFT,-,-,1,11.1160029,-,-,m,18,58,47,1,3,3,0
12,0,PFT4.png,PFT,1,2.945149,-,-,-,-,m,18,58,47,1,3,3,0
12,0,PFT18.png,PFT,-,-,-,-,1,9.6807423,m,18,58,47,1,3,3,0
12,0,PFT2.png,PFT,1,2.0896444,-,-,-,-,m,18,58,47,1,3,3,0
12,0,PFT24.png,PFT,-,-,-,-,1,10.418011,m,18,58,47,1,3,3,0
12,0,PFT21.png,PFT,-,-,-,-,1,22.2689367,m,18,58,47,1,3,3,0
12,0,PFT9.png,PFT,-,-,1,10.8368752,-,-,m,18,58,47,1,3,3,0
12,0,PFT3.png,PFT,1,2.8514636,-,-,-,-,m,18,58,47,1,3,3,0
12,0,PFT8.png,PFT,1,2.6338209,-,-,-,-,m,18,58,47,1,3,3,0
12,0,PFT6.png,PFT,1,2.442522,-,-,-,-,m,18,58,47,1,3,3,0
12,0,PFT19.png,PFT,-,-,-,-,1,15.6744226,m,18,58,47,1,3,3,0
12,0,PFT5.png,PFT,1,4.4815862,-,-,-,-,m,18,58,47,1,3,3,0
12,0,PFT15.png,PFT,-,-,1,25.4230968,-,-,m,18,58,47,1,3,3,0
12,0,PFT11.png,PFT,-,-,1,8.3905804,-,-,m,18,58,47,1,3,3,0
12,0,PFT16.png,PFT,-,-,1,9.222352,-,-,m,18,58,47,1,3,3,0
12,0,PFT7.png,PFT,1,3.3663396,-,-,-,-,m,18,58,47,1,3,3,0
12,0,PFT13.png,PFT,-,-,1,3.4059941,-,-,m,18,58,47,1,3,3,0
12,0,PFT17.png,PFT,-,-,-,-,1,5.1518075,m,18,58,47,1,3,3,0
12,0,PFT1.png,PFT,1,3.4614688,-,-,-,-,m,18,58,47,1,3,3,0
13,0,PFT1.png,PFT,1,1.7475094,-,-,-,-,f,21,57,34,1,5,5,1
13,0,PFT11.png,PFT,-,-,1,2.0120675,-,-,f,21,57,34,1,5,5,1
13,0,PFT13.png,PFT,-,-,1,8.6541376,-,-,f,21,57,34,1,5,5,1
13,0,PFT3.png,PFT,1,1.3124122,-,-,-,-,f,21,57,34,1,5,5,1
13,0,PFT8.png,PFT,1,1.9733744,-,-,-,-,f,21,57,34,1,5,5,1
13,0,PFT23.png,PFT,-,-,-,-,0,10.1263737,f,21,57,34,1,5,5,1
13,0,PFT7.png,PFT,1,2.0875923,-,-,-,-,f,21,57,34,1,5,5,1
13,0,PFT16.png,PFT,-,-,1,4.570401,-,-,f,21,57,34,1,5,5,1
13,0,PFT19.png,PFT,-,-,-,-,1,12.4697198,f,21,57,34,1,5,5,1
13,0,PFT10.png,PFT,-,-,1,2.3773152,-,-,f,21,57,34,1,5,5,1
13,0,PFT2.png,PFT,1,1.9320298,-,-,-,-,f,21,57,34,1,5,5,1
13,0,PFT18.png,PFT,-,-,-,-,1,7.0116366,f,21,57,34,1,5,5,1
13,0,PFT17.png,PFT,-,-,-,-,1,5.4408291,f,21,57,34,1,5,5,1
13,0,PFT4.png,PFT,1,1.8195635,-,-,-,-,f,21,57,34,1,5,5,1
13,0,PFT5.png,PFT,1,1.2486443,-,-,-,-,f,21,57,34,1,5,5,1
13,0,PFT9.png,PFT,-,-,1,2.5685306,-,-,f,21,57,34,1,5,5,1
13,0,PFT24.png,PFT,-,-,-,-,1,4.8053974,f,21,57,34,1,5,5,1
13,0,PFT6.png,PFT,1,1.9808734,-,-,-,-,f,21,57,34,1,5,5,1
13,0,PFT21.png,PFT,-,-,-,-,1,6.323781,f,21,57,34,1,5,5,1
13,0,PFT15.png,PFT,-,-,1,11.4724094,-,-,f,21,57,34,1,5,5,1
14,0,PFT3.png,PFT,1,4.8543274,-,-,-,-,f,20,57,34,1,7,4,0
14,0,PFT24.png,PFT,-,-,-,-,1,9.8382901,f,20,57,34,1,7,4,0
14,0,PFT19.png,PFT,-,-,-,-,1,11.4849135,f,20,57,34,1,7,4,0
14,0,PFT17.png,PFT,-,-,-,-,1,4.8751312,f,20,57,34,1,7,4,0
14,0,PFT18.png,PFT,-,-,-,-,1,5.947325,f,20,57,34,1,7,4,0
14,0,PFT13.png,PFT,-,-,1,3.4652039,-,-,f,20,57,34,1,7,4,0
14,0,PFT8.png,PFT,1,5.1581639,-,-,-,-,f,20,57,34,1,7,4,0
14,0,PFT6.png,PFT,0,5.2633064,-,-,-,-,f,20,57,34,1,7,4,0
14,0,PFT4.png,PFT,1,6.9577633,-,-,-,-,f,20,57,34,1,7,4,0
14,0,PFT15.png,PFT,-,-,1,13.214013,-,-,f,20,57,34,1,7,4,0
14,0,PFT2.png,PFT,1,1.989254,-,-,-,-,f,20,57,34,1,7,4,0
14,0,PFT21.png,PFT,-,-,-,-,0,28.091988,f,20,57,34,1,7,4,0
14,0,PFT1.png,PFT,1,3.6476135,-,-,-,-,f,20,57,34,1,7,4,0
14,0,PFT5.png,PFT,1,4.4347681,-,-,-,-,f,20,57,34,1,7,4,0
14,0,PFT16.png,PFT,-,-,1,10.3802915,-,-,f,20,57,34,1,7,4,0
14,0,PFT11.png,PFT,-,-,1,5.4073874,-,-,f,20,57,34,1,7,4,0
14,0,PFT10.png,PFT,-,-,1,2.0619441,-,-,f,20,57,34,1,7,4,0
14,0,PFT9.png,PFT,-,-,1,4.2042054,-,-,f,20,57,34,1,7,4,0
14,0,PFT7.png,PFT,1,3.6603648,-,-,-,-,f,20,57,34,1,7,4,0
14,0,PFT23.png,PFT,-,-,-,-,1,8.9978693,f,20,57,34,1,7,4,0
5,0,PFT5.png,ATT,1,2.9766562,-,-,-,-,f,19,60,37,1,5,4,0
5,0,PFT1.png,ATT,0,4.9300231,-,-,-,-,f,19,60,37,1,5,4,0
5,0,PFT13.png,ATT,-,-,0,10.1269557,-,-,f,19,60,37,1,5,4,0
5,0,PFT7.png,ATT,0,2.3688072,-,-,-,-,f,19,60,37,1,5,4,0
5,0,PFT3.png,ATT,0,4.5620217,-,-,-,-,f,19,60,37,1,5,4,0
5,0,PFT15.png,ATT,-,-,0,12.5748657,-,-,f,19,60,37,1,5,4,0
5,0,PFT19.png,ATT,-,-,-,-,0,15.5052033,f,19,60,37,1,5,4,0
5,0,PFT9.png,ATT,-,-,0,4.5667691,-,-,f,19,60,37,1,5,4,0
5,0,PFT21.png,ATT,-,-,-,-,0,3.1860118,f,19,60,37,1,5,4,0
5,0,PFT6.png,ATT,0,5.0298799,-,-,-,-,f,19,60,37,1,5,4,0
5,0,PFT24.png,ATT,-,-,-,-,0,13.5452456,f,19,60,37,1,5,4,0
5,0,PFT17.png,ATT,-,-,-,-,0,5.5774361,f,19,60,37,1,5,4,0
5,0,PFT18.png,ATT,-,-,-,-,1,5.7453823,f,19,60,37,1,5,4,0
5,0,PFT8.png,ATT,0,2.685311,-,-,-,-,f,19,60,37,1,5,4,0
5,0,PFT10.png,ATT,-,-,0,1.7048434,-,-,f,19,60,37,1,5,4,0
5,0,PFT2.png,ATT,1,2.6175091,-,-,-,-,f,19,60,37,1,5,4,0
5,0,PFT23.png,ATT,-,-,-,-,0,8.8567018,f,19,60,37,1,5,4,0
5,0,PFT16.png,ATT,-,-,0,5.9631059,-,-,f,19,60,37,1,5,4,0
5,0,PFT4.png,ATT,0,2.1747247,-,-,-,-,f,19,60,37,1,5,4,0
5,0,PFT11.png,ATT,-,-,0,3.7496068,-,-,f,19,60,37,1,5,4,0
15,0,PFT11.png,PFT,-,-,0,2.9482952,-,-,f,21,62,38,1,4,2,0
15,0,PFT7.png,PFT,1,2.0040463,-,-,-,-,f,21,62,38,1,4,2,0
15,0,PFT1.png,PFT,1,4.6046036,-,-,-,-,f,21,62,38,1,4,2,0
15,0,PFT2.png,PFT,1,1.6323949,-,-,-,-,f,21,62,38,1,4,2,0
15,0,PFT8.png,PFT,1,1.5409895,-,-,-,-,f,21,62,38,1,4,2,0
15,0,PFT17.png,PFT,-,-,-,-,1,6.1842004,f,21,62,38,1,4,2,0
15,0,PFT21.png,PFT,-,-,-,-,1,6.5098628,f,21,62,38,1,4,2,0
15,0,PFT5.png,PFT,1,3.1601049,-,-,-,-,f,21,62,38,1,4,2,0
15,0,PFT23.png,PFT,-,-,-,-,0,10.3520803,f,21,62,38,1,4,2,0
15,0,PFT6.png,PFT,1,2.2924067,-,-,-,-,f,21,62,38,1,4,2,0
15,0,PFT18.png,PFT,-,-,-,-,0,8.5516576,f,21,62,38,1,4,2,0
15,0,PFT19.png,PFT,-,-,-,-,0,2.4825953,f,21,62,38,1,4,2,0
15,0,PFT3.png,PFT,1,1.9189299,-,-,-,-,f,21,62,38,1,4,2,0
15,0,PFT13.png,PFT,-,-,1,7.7908226,-,-,f,21,62,38,1,4,2,0
15,0,PFT4.png,PFT,1,2.1704856,-,-,-,-,f,21,62,38,1,4,2,0
15,0,PFT16.png,PFT,-,-,1,3.4255729,-,-,f,21,62,38,1,4,2,0
15,0,PFT15.png,PFT,-,-,0,10.2295702,-,-,f,21,62,38,1,4,2,0
15,0,PFT24.png,PFT,-,-,-,-,1,7.1481492,f,21,62,38,1,4,2,0
15,0,PFT9.png,PFT,-,-,0,6.2940814,-,-,f,21,62,38,1,4,2,0
15,0,PFT10.png,PFT,-,-,0,3.5965927,-,-,f,21,62,38,1,4,2,0
6,0,PFT2.png,ATT,1,-,-,-,-,-,f,21,60,40,1,2,4,0
6,0,PFT7.png,ATT,0,4.7773713,-,-,-,-,f,21,60,40,1,2,4,0
6,0,PFT24.png,ATT,-,-,-,-,1,42.7231087,f,21,60,40,1,2,4,0
6,0,PFT5.png,ATT,1,2.7642979,-,-,-,-,f,21,60,40,1,2,4,0
6,0,PFT10.png,ATT,-,-,0,2.8453559,-,-,f,21,60,40,1,2,4,0
6,0,PFT23.png,ATT,-,-,-,-,0,4.6181713,f,21,60,40,1,2,4,0
6,0,PFT9.png,ATT,-,-,0,23.3693297,-,-,f,21,60,40,1,2,4,0
6,0,PFT19.png,ATT,-,-,-,-,0,6.3080923,f,21,60,40,1,2,4,0
6,0,PFT8.png,ATT,0,2.5658895,-,-,-,-,f,21,60,40,1,2,4,0
6,0,PFT4.png,ATT,0,2.1810506,-,-,-,-,f,21,60,40,1,2,4,0
6,0,PFT1.png,ATT,0,2.0052978,-,-,-,-,f,21,60,40,1,2,4,0
6,0,PFT18.png,ATT,-,-,-,-,1,4.4042594,f,21,60,40,1,2,4,0
6,0,PFT3.png,ATT,0,-,-,-,-,-,f,21,60,40,1,2,4,0
6,0,PFT17.png,ATT,-,-,-,-,0,11.5267296,f,21,60,40,1,2,4,0
6,0,PFT13.png,ATT,-,-,0,4.7719757,-,-,f,21,60,40,1,2,4,0
6,0,PFT15.png,ATT,-,-,0,14.4718834,-,-,f,21,60,40,1,2,4,0
6,0,PFT16.png,ATT,-,-,0,18.8086891,-,-,f,21,60,40,1,2,4,0
6,0,PFT6.png,ATT,0,3.4012014,-,-,-,-,f,21,60,40,1,2,4,0
6,0,PFT21.png,ATT,-,-,-,-,0,21.0595031,f,21,60,40,1,2,4,0
6,0,PFT11.png,ATT,-,-,0,3.5875478,-,-,f,21,60,40,1,2,4,0
21,1,PFT13.png,ATT,-,-,0,10.017499,-,-,f,19,66,38,1,7,6,0
