ID_participant,cog_load,animal,tail,covered,resolution,att_resp.corr,att_resp.rt,first_procedure,gender,age,vosi_object,vosi_spatial,exp_model,exp_photo,exp_math,exp_experiment
002,0,Hippo,Short,Left,medium,1,1.0011435,ATT,f,20,68,43,4,5,7,0
002,0,Lamb,Short,Right,medium,1,1.4157052,ATT,f,20,68,43,4,5,7,0
002,0,Tiger,Long,Right,medium,1,1.8263071,ATT,f,20,68,43,4,5,7,0
002,0,Lamb,Short,Right,low,1,2.0105522,ATT,f,20,68,43,4,5,7,0
002,0,Lion,Long,Right,low,0,2.0648893,ATT,f,20,68,43,4,5,7,0
002,0,Chameleon,Long,Right,medium,1,0.8092988,ATT,f,20,68,43,4,5,7,0
002,0,Panda,Short,Left,high,1,0.8052179,ATT,f,20,68,43,4,5,7,0
002,0,Hippo,Short,Left,high,1,1.1122299,ATT,f,20,68,43,4,5,7,0
002,0,Camel,Short,Right,medium,0,9.1676481,ATT,f,20,68,43,4,5,7,0
002,0,Giraffe,Long,Left,medium,1,5.9476223,ATT,f,20,68,43,4,5,7,0
002,0,Bull,Long,Left,high,0,3.2665415,ATT,f,20,68,43,4,5,7,0
002,0,Bear,Short,Left,medium,1,2.6654125,ATT,f,20,68,43,4,5,7,0
002,0,Giraffe,Long,Left,low,1,2.8437978,ATT,f,20,68,43,4,5,7,0
002,0,Rhino,Short,Left,high,1,1.0560178,ATT,f,20,68,43,4,5,7,0
002,0,Rhino,Short,Left,low,1,0.7388652,ATT,f,20,68,43,4,5,7,0
002,0,Chameleon,Long,Right,low,1,0.7252579,ATT,f,20,68,43,4,5,7,0
002,0,Mole,Short,Right,medium,1,1.3426965,ATT,f,20,68,43,4,5,7,0
002,0,Monkey,Long,Left,low,0,20.8394776,ATT,f,20,68,43,4,5,7,0
002,0,Bull,Long,Left,medium,1,2.2512803,ATT,f,20,68,43,4,5,7,0
002,0,Horse,Long,Right,high,1,1.1177227,ATT,f,20,68,43,4,5,7,0
002,0,Kangaroo,Long,Left,low,1,1.0945289,ATT,f,20,68,43,4,5,7,0
002,0,Fox,Long,Right,high,1,1.1905793,ATT,f,20,68,43,4,5,7,0
002,0,Crow,Long,Left,low,1,1.1098687,ATT,f,20,68,43,4,5,7,0
002,0,Wolf,Long,Right,medium,0,1.2205752,ATT,f,20,68,43,4,5,7,0
002,0,Bear,Short,Left,high,1,0.6400706,ATT,f,20,68,43,4,5,7,0
002,0,Tiger,Long,Right,high,1,0.9137132,ATT,f,20,68,43,4,5,7,0
002,0,Camel,Short,Right,high,0,0.6758321,ATT,f,20,68,43,4,5,7,0
002,0,Bear,Short,Left,low,1,1.3285158,ATT,f,20,68,43,4,5,7,0
002,0,Pig,Short,Right,low,1,0.5941085,ATT,f,20,68,43,4,5,7,0
002,0,Fox,Long,Right,low,1,0.7986239,ATT,f,20,68,43,4,5,7,0
002,0,Mole,Short,Right,low,1,0.6122259,ATT,f,20,68,43,4,5,7,0
002,0,Gazelle,Short,Right,high,1,0.774252,ATT,f,20,68,43,4,5,7,0
002,0,Jaguar,Long,Left,medium,1,0.700955,ATT,f,20,68,43,4,5,7,0
002,0,Tiger,Long,Right,low,1,1.6495528,ATT,f,20,68,43,4,5,7,0
002,0,Monkey,Long,Left,medium,1,0.9841862,ATT,f,20,68,43,4,5,7,0
002,0,Jaguar,Long,Left,high,1,0.8826829,ATT,f,20,68,43,4,5,7,0
002,0,Sheep,Short,Right,medium,1,1.6416103,ATT,f,20,68,43,4,5,7,0
002,0,Crow,Long,Left,high,1,0.6796918,ATT,f,20,68,43,4,5,7,0
002,0,Elephant,Short,Right,low,1,1.157099,ATT,f,20,68,43,4,5,7,0
002,0,Goat,Short,Left,low,1,1.0999035,ATT,f,20,68,43,4,5,7,0
002,0,Elephant,Short,Right,medium,0,0.7335,ATT,f,20,68,43,4,5,7,0
002,0,Wolf,Long,Right,high,0,0.6057422,ATT,f,20,68,43,4,5,7,0
002,0,Monkey,Long,Left,high,1,2.2982149,ATT,f,20,68,43,4,5,7,0
002,0,Lion,Long,Right,medium,1,0.757815,ATT,f,20,68,43,4,5,7,0
002,0,Bull,Long,Left,low,0,0.7065165,ATT,f,20,68,43,4,5,7,0
002,0,Sheep,Short,Right,low,1,0.7991083,ATT,f,20,68,43,4,5,7,0
002,0,Gazelle,Short,Right,medium,1,1.3283753,ATT,f,20,68,43,4,5,7,0
003,0,Goat,Short,Left,low,0,2.159171,ATT,f,23,66,53,1,4,5,1
003,0,Camel,Short,Right,low,0,0.935301,ATT,f,23,66,53,1,4,5,1
003,0,Crow,Long,Left,medium,1,1.1069264,ATT,f,23,66,53,1,4,5,1
003,0,Gazelle,Short,Right,low,0,1.0443851,ATT,f,23,66,53,1,4,5,1
