ID_participant,cog_load,pft_stim,pft_operations,pft_trial_resp.corr,pft_trial_resp.rt,first_procedure,gender,age,vosi_object,vosi_spatial,exp_model,exp_photo,exp_math,exp_experiment,,,
11,0,PFT23.png,3,1,5.8878064,PFT,f,18,44,26,1,2,5,0,,,
11,0,PFT17.png,3,1,11.4914664,PFT,f,18,44,26,1,2,5,0,,,
11,0,PFT4.png,1,1,2.4754229,PFT,f,18,44,26,1,2,5,0,,,
11,0,PFT10.png,2,1,3.1970605,PFT,f,18,44,26,1,2,5,0,,,
11,0,PFT11.png,2,1,3.7167955,PFT,f,18,44,26,1,2,5,0,,,
11,0,PFT2.png,1,1,1.375533,PFT,f,18,44,26,1,2,5,0,,,
11,0,PFT8.png,1,1,1.6127589,PFT,f,18,44,26,1,2,5,0,,,
11,0,PFT3.png,1,1,1.7284095,PFT,f,18,44,26,1,2,5,0,,,
11,0,PFT13.png,2,1,4.0856932,PFT,f,18,44,26,1,2,5,0,,,
11,0,PFT24.png,3,1,4.9836456,PFT,f,18,44,26,1,2,5,0,,,
11,0,PFT20.png,3,0,21.0743153,PFT,f,18,44,26,1,2,5,0,,,
11,0,PFT5.png,1,1,1.7851594,PFT,f,18,44,26,1,2,5,0,,,
11,0,PFT18.png,3,1,6.0774499,PFT,f,18,44,26,1,2,5,0,,,
11,0,PFT16.png,2,1,4.685197,PFT,f,18,44,26,1,2,5,0,,,
11,0,PFT9.png,2,1,2.7675031,PFT,f,18,44,26,1,2,5,0,,,
11,0,PFT7.png,1,1,2.183424,PFT,f,18,44,26,1,2,5,0,,,
11,0,PFT12.png,2,0,3.9643581,PFT,f,18,44,26,1,2,5,0,,,
11,0,PFT14.png,2,1,6.003074,PFT,f,18,44,26,1,2,5,0,,,
11,0,PFT22.png,3,1,15.1670738,PFT,f,18,44,26,1,2,5,0,,,
12,0,PFT20.png,3,0,27.98042,PFT,m,18,58,47,1,3,3,0,,,
12,0,PFT23.png,3,1,16.2060154,PFT,m,18,58,47,1,3,3,0,,,
12,0,PFT10.png,2,1,11.1160029,PFT,m,18,58,47,1,3,3,0,,,
12,0,PFT4.png,1,1,2.945149,PFT,m,18,58,47,1,3,3,0,,,
12,0,PFT18.png,3,1,9.6807423,PFT,m,18,58,47,1,3,3,0,,,
12,0,PFT2.png,1,1,2.0896444,PFT,m,18,58,47,1,3,3,0,,,
12,0,PFT24.png,3,1,10.418011,PFT,m,18,58,47,1,3,3,0,,,
12,0,PFT21.png,3,1,22.2689367,PFT,m,18,58,47,1,3,3,0,,,
12,0,PFT9.png,2,1,10.8368752,PFT,m,18,58,47,1,3,3,0,,,
12,0,PFT3.png,1,1,2.8514636,PFT,m,18,58,47,1,3,3,0,,,
12,0,PFT8.png,1,1,2.6338209,PFT,m,18,58,47,1,3,3,0,,,
12,0,PFT14.png,2,0,24.3637374,PFT,m,18,58,47,1,3,3,0,,,
12,0,PFT6.png,1,1,2.442522,PFT,m,18,58,47,1,3,3,0,,,
12,0,PFT19.png,3,1,15.6744226,PFT,m,18,58,47,1,3,3,0,,,
12,0,PFT5.png,1,1,4.4815862,PFT,m,18,58,47,1,3,3,0,,,
12,0,PFT15.png,2,1,25.4230968,PFT,m,18,58,47,1,3,3,0,,,
12,0,PFT12.png,2,1,25.9429466,PFT,m,18,58,47,1,3,3,0,,,
12,0,PFT11.png,2,1,8.3905804,PFT,m,18,58,47,1,3,3,0,,,
12,0,PFT16.png,2,1,9.222352,PFT,m,18,58,47,1,3,3,0,,,
12,0,PFT22.png,3,0,32.9542704,PFT,m,18,58,47,1,3,3,0,,,
12,0,PFT7.png,1,1,3.3663396,PFT,m,18,58,47,1,3,3,0,,,
12,0,PFT13.png,2,1,3.4059941,PFT,m,18,58,47,1,3,3,0,,,
12,0,PFT17.png,3,1,5.1518075,PFT,m,18,58,47,1,3,3,0,,,
12,0,PFT1.png,1,1,3.4614688,PFT,m,18,58,47,1,3,3,0,,,
13,0,PFT1.png,1,1,1.7475094,PFT,f,21,57,34,1,5,5,1,,,
13,0,PFT11.png,2,1,2.0120675,PFT,f,21,57,34,1,5,5,1,,,
13,0,PFT13.png,2,1,8.6541376,PFT,f,21,57,34,1,5,5,1,,,
13,0,PFT3.png,1,1,1.3124122,PFT,f,21,57,34,1,5,5,1,,,
13,0,PFT8.png,1,1,1.9733744,PFT,f,21,57,34,1,5,5,1,,,
13,0,PFT12.png,2,1,5.0370423,PFT,f,21,57,34,1,5,5,1,,,
13,0,PFT23.png,3,0,10.1263737,PFT,f,21,57,34,1,5,5,1,,,
13,0,PFT7.png,1,1,2.0875923,PFT,f,21,57,34,1,5,5,1,,,
13,0,PFT16.png,2,1,4.570401,PFT,f,21,57,34,1,5,5,1,,,
13,0,PFT20.png,3,0,4.610545,PFT,f,21,57,34,1,5,5,1,,,
13,0,PFT22.png,3,0,15.6509834,PFT,f,21,57,34,1,5,5,1,,,
13,0,PFT19.png,3,1,12.4697198,PFT,f,21,57,34,1,5,5,1,,,
13,0,PFT10.png,2,1,2.3773152,PFT,f,21,57,34,1,5,5,1,,,
13,0,PFT2.png,1,1,1.9320298,PFT,f,21,57,34,1,5,5,1,,,
13,0,PFT18.png,3,1,7.0116366,PFT,f,21,57,34,1,5,5,1,,,
13,0,PFT17.png,3,1,5.4408291,PFT,f,21,57,34,1,5,5,1,,,
13,0,PFT4.png,1,1,1.8195635,PFT,f,21,57,34,1,5,5,1,,,
13,0,PFT5.png,1,1,1.2486443,PFT,f,21,57,34,1,5,5,1,,,
13,0,PFT9.png,2,1,2.5685306,PFT,f,21,57,34,1,5,5,1,,,
13,0,PFT14.png,2,1,17.3765076,PFT,f,21,57,34,1,5,5,1,,,
13,0,PFT24.png,3,1,4.8053974,PFT,f,21,57,34,1,5,5,1,,,
13,0,PFT6.png,1,1,1.9808734,PFT,f,21,57,34,1,5,5,1,,,
13,0,PFT21.png,3,1,6.323781,PFT,f,21,57,34,1,5,5,1,,,
13,0,PFT15.png,2,1,11.4724094,PFT,f,21,57,34,1,5,5,1,,,
14,0,PFT12.png,2,1,4.2720243,PFT,f,20,57,34,1,7,4,0,,,
14,0,PFT3.png,1,1,4.8543274,PFT,f,20,57,34,1,7,4,0,,,
14,0,PFT24.png,3,1,9.8382901,PFT,f,20,57,34,1,7,4,0,,,
14,0,PFT19.png,3,1,11.4849135,PFT,f,20,57,34,1,7,4,0,,,
14,0,PFT17.png,3,1,4.8751312,PFT,f,20,57,34,1,7,4,0,,,
14,0,PFT18.png,3,1,5.947325,PFT,f,20,57,34,1,7,4,0,,,
14,0,PFT13.png,2,1,3.4652039,PFT,f,20,57,34,1,7,4,0,,,
14,0,PFT20.png,3,0,31.2593093,PFT,f,20,57,34,1,7,4,0,,,
14,0,PFT8.png,1,1,5.1581639,PFT,f,20,57,34,1,7,4,0,,,
14,0,PFT6.png,1,0,5.2633064,PFT,f,20,57,34,1,7,4,0,,,
14,0,PFT14.png,2,1,27.0987283,PFT,f,20,57,34,1,7,4,0,,,
14,0,PFT4.png,1,1,6.9577633,PFT,f,20,57,34,1,7,4,0,,,
14,0,PFT15.png,2,1,13.214013,PFT,f,20,57,34,1,7,4,0,,,
14,0,PFT2.png,1,1,1.989254,PFT,f,20,57,34,1,7,4,0,,,
14,0,PFT21.png,3,0,28.091988,PFT,f,20,57,34,1,7,4,0,,,
14,0,PFT1.png,1,1,3.6476135,PFT,f,20,57,34,1,7,4,0,,,
14,0,PFT5.png,1,1,4.4347681,PFT,f,20,57,34,1,7,4,0,,,
14,0,PFT16.png,2,1,10.3802915,PFT,f,20,57,34,1,7,4,0,,,
14,0,PFT11.png,2,1,5.4073874,PFT,f,20,57,34,1,7,4,0,,,
14,0,PFT10.png,2,1,2.0619441,PFT,f,20,57,34,1,7,4,0,,,
14,0,PFT9.png,2,1,4.2042054,PFT,f,20,57,34,1,7,4,0,,,
14,0,PFT7.png,1,1,3.6603648,PFT,f,20,57,34,1,7,4,0,,,
14,0,PFT22.png,3,0,15.8137321,PFT,f,20,57,34,1,7,4,0,,,
14,0,PFT23.png,3,1,8.9978693,PFT,f,20,57,34,1,7,4,0,,,
5,0,PFT5.png,1,1,2.9766562,ATT,f,19,60,37,1,5,4,0,,,
5,0,PFT1.png,1,0,4.9300231,ATT,f,19,60,37,1,5,4,0,,,
5,0,PFT20.png,3,0,8.7322028,ATT,f,19,60,37,1,5,4,0,,,
5,0,PFT13.png,2,0,10.1269557,ATT,f,19,60,37,1,5,4,0,,,
5,0,PFT7.png,1,0,2.3688072,ATT,f,19,60,37,1,5,4,0,,,
5,0,PFT14.png,2,0,15.6664167,ATT,f,19,60,37,1,5,4,0,,,
5,0,PFT3.png,1,0,4.5620217,ATT,f,19,60,37,1,5,4,0,,,
5,0,PFT15.png,2,0,12.5748657,ATT,f,19,60,37,1,5,4,0,,,
5,0,PFT19.png,3,0,15.5052033,ATT,f,19,60,37,1,5,4,0,,,
5,0,PFT9.png,2,0,4.5667691,ATT,f,19,60,37,1,5,4,0,,,
5,0,PFT22.png,3,1,6.44602,ATT,f,19,60,37,1,5,4,0,,,
5,0,PFT21.png,3,0,3.1860118,ATT,f,19,60,37,1,5,4,0,,,
5,0,PFT6.png,1,0,5.0298799,ATT,f,19,60,37,1,5,4,0,,,
5,0,PFT24.png,3,0,13.5452456,ATT,f,19,60,37,1,5,4,0,,,
5,0,PFT12.png,2,0,7.6370239,ATT,f,19,60,37,1,5,4,0,,,
5,0,PFT17.png,3,0,5.5774361,ATT,f,19,60,37,1,5,4,0,,,
5,0,PFT18.png,3,1,5.7453823,ATT,f,19,60,37,1,5,4,0,,,
5,0,PFT8.png,1,0,2.685311,ATT,f,19,60,37,1,5,4,0,,,
5,0,PFT10.png,2,0,1.7048434,ATT,f,19,60,37,1,5,4,0,,,
5,0,PFT2.png,1,1,2.6175091,ATT,f,19,60,37,1,5,4,0,,,
5,0,PFT23.png,3,0,8.8567018,ATT,f,19,60,37,1,5,4,0,,,
5,0,PFT16.png,2,0,5.9631059,ATT,f,19,60,37,1,5,4,0,,,
5,0,PFT4.png,1,0,2.1747247,ATT,f,19,60,37,1,5,4,0,,,
5,0,PFT11.png,2,0,3.7496068,ATT,f,19,60,37,1,5,4,0,,,
15,0,PFT11.png,2,0,2.9482952,PFT,f,21,62,38,1,4,2,0,,,
15,0,PFT7.png,1,1,2.0040463,PFT,f,21,62,38,1,4,2,0,,,
15,0,PFT1.png,1,1,4.6046036,PFT,f,21,62,38,1,4,2,0,,,
15,0,PFT2.png,1,1,1.6323949,PFT,f,21,62,38,1,4,2,0,,,
15,0,PFT20.png,3,0,14.8940379,PFT,f,21,62,38,1,4,2,0,,,
15,0,PFT8.png,1,1,1.5409895,PFT,f,21,62,38,1,4,2,0,,,
15,0,PFT17.png,3,1,6.1842004,PFT,f,21,62,38,1,4,2,0,,,
15,0,PFT21.png,3,1,6.5098628,PFT,f,21,62,38,1,4,2,0,,,
15,0,PFT5.png,1,1,3.1601049,PFT,f,21,62,38,1,4,2,0,,,
15,0,PFT14.png,2,0,4.9041503,PFT,f,21,62,38,1,4,2,0,,,
15,0,PFT23.png,3,0,10.3520803,PFT,f,21,62,38,1,4,2,0,,,
15,0,PFT6.png,1,1,2.2924067,PFT,f,21,62,38,1,4,2,0,,,
15,0,PFT12.png,2,1,2.5161016,PFT,f,21,62,38,1,4,2,0,,,
15,0,PFT18.png,3,0,8.5516576,PFT,f,21,62,38,1,4,2,0,,,
15,0,PFT19.png,3,0,2.4825953,PFT,f,21,62,38,1,4,2,0,,,
15,0,PFT3.png,1,1,1.9189299,PFT,f,21,62,38,1,4,2,0,,,
15,0,PFT22.png,3,0,8.1270134,PFT,f,21,62,38,1,4,2,0,,,
15,0,PFT13.png,2,1,7.7908226,PFT,f,21,62,38,1,4,2,0,,,
15,0,PFT4.png,1,1,2.1704856,PFT,f,21,62,38,1,4,2,0,,,
15,0,PFT16.png,2,1,3.4255729,PFT,f,21,62,38,1,4,2,0,,,
15,0,PFT15.png,2,0,10.2295702,PFT,f,21,62,38,1,4,2,0,,,
15,0,PFT24.png,3,1,7.1481492,PFT,f,21,62,38,1,4,2,0,,,
15,0,PFT9.png,2,0,6.2940814,PFT,f,21,62,38,1,4,2,0,,,
